link_id,station_id,road_name,lat,lon,year,month,AADT,AADT_motorcycles,AADT_cars,AADT_buses,AADT_trucks,AADT_heavy,heavy_pct,peak_hour_factor,growth_rate,data_source,region
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2020,3,506.0,2221.0,506.0,1163.0,792.5,1585.0,60.0,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2020,8,1121.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2020,11,1163.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2020,12,1585.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2021,1,1789.0,770.0,745.0,88.0,58.0,116.0,6.484069312465064,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2021,2,1324.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2021,3,674.0,1324.0,3196.0,2464.0,649.0,1298.0,60.0,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2021,4,1350.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2021,5,1301.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2021,6,1298.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2021,10,1172.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C745_Link01,C74501,Nebbi - Olevu,31.049571,2.438181,2021,11,1163.0,,,,,,1.3141426783479349,0.11,7.03,ATC_permanent,North
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2019,1,2273.0,1563.0,600.0,92.0,7.5,15.0,0.6599208095028597,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2019,5,2525.0,1660.0,782.0,72.0,4.5,9.0,0.3564356435643565,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2019,6,2425.0,1480.0,887.0,52.0,3.0,6.0,0.24742268041237112,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2019,7,2396.0,1307.0,1034.0,52.0,1.5,3.0,0.12520868113522537,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2019,8,1842.0,1517.0,219.0,84.0,8.0,16.0,0.8686210640608035,0.11,-42.44,ATC_permanent,North East
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2019,9,1856.0,1518.0,226.0,92.0,8.5,17.0,0.9159482758620688,0.11,-42.44,ATC_permanent,North East
