link_id,station_id,road_name,lat,lon,year,month,AADT,AADT_motorcycles,AADT_cars,AADT_buses,AADT_trucks,AADT_heavy,heavy_pct,peak_hour_factor,growth_rate,data_source,region,road_class,road_class_enc,region_enc,dist_kampala_km,dist_nearest_town_km,length_km,surface_enc,betweenness_proxy,is_dry_season,is_holiday_month,year_norm,month_sin,month_cos,gdp_proxy,spatial_lag_aadt_k3,spatial_lag_aadt_k5,station_mean_aadt,log_AADT
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2020,2,2816.0,568.0,1360.0,395.0,188.0,376.0,13.352272727272728,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,1,0,0.4444444444444444,0.8660254037844386,0.5000000000000001,3.0,2520.9296296296293,2831.224444444444,4653.058823529412,7.943427767876373
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2020,3,3244.0,1108.0,1303.0,285.0,206.5,413.0,12.731196054254006,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,0,0,0.4444444444444444,1.0,6.123233995736766e-17,3.0,2520.9296296296293,2831.224444444444,4653.058823529412,8.08487062913819
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2020,8,2401.0,495.0,1045.0,273.0,221.5,443.0,18.45064556434819,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,1,0,0.4444444444444444,-0.8660254037844385,-0.5000000000000004,3.0,2520.9296296296293,2831.224444444444,4653.058823529412,7.784057002639929
B101_Link01,B101_LINK01,Mukono - Kalagi,32.808814,0.589747,2019,11,4765.0,1686.0,2522.0,404.0,64.5,129.0,2.707240293809024,0.11,-13.84,ATC_permanent,Central,B,3,0,4924.872620741945,4575.060478290397,17.866,2,1.949,0,0,0.3333333333333333,-0.5000000000000004,0.8660254037844384,8.0,5487.714285714285,4917.118571428571,5258.04,8.469262657658687
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2020,10,2693.0,530.0,1227.0,405.0,192.5,385.0,14.296323802450797,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,0,0,0.4444444444444444,-0.8660254037844386,0.5000000000000001,3.0,2520.9296296296293,2831.224444444444,4653.058823529412,7.898782356970309
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2020,11,1797.0,377.0,791.0,215.0,148.0,296.0,16.471897607122983,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,0,0,0.4444444444444444,-0.5000000000000004,0.8660254037844384,3.0,2520.9296296296293,2831.224444444444,4653.058823529412,7.494430215031565
A002_Link04,A00211,Buwama - Nyendo,31.843214,-0.206556,2020,12,1424.0,1170.0,250.0,4.0,0.0,0.0,0.0,0.11,-61.88,ATC_permanent,Central,A,4,0,4913.549888714349,4565.414523396855,30.5,2,3.45,1,0,0.4444444444444444,-2.4492935982947064e-16,1.0,3.0,2520.9296296296293,2831.224444444444,4653.058823529412,7.261927092702751
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2019,5,2447.0,497.0,1381.0,273.0,96.5,193.0,7.887208827135268,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.3333333333333333,0.49999999999999994,-0.8660254037844387,8.0,2256.0,2034.0444444444445,2532.7619047619046,7.803026643632217
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2019,6,2381.0,486.0,1319.0,274.0,108.0,216.0,9.071818563628728,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,1,0.3333333333333333,1.2246467991473532e-16,-1.0,8.0,2256.0,2034.0444444444445,2532.7619047619046,7.775695749915245
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2019,7,2260.0,311.0,1456.0,251.0,88.5,177.0,7.831858407079646,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,0,0.3333333333333333,-0.4999999999999997,-0.8660254037844388,8.0,2256.0,2034.0444444444445,2532.7619047619046,7.72356247227797
